Dragon,Rarity,BreedAvailability,BreedElementOne,BreedElementTwo,BreedElementTwo,BreedElementThree,BreedElementFive,BreedDragonOne,BreedDragonTraitOne,BreedDragonTwo,BreedDragonTraitTwo,RequiredRiftAlignment,RequiredRiftTrait,OppositeElements,RequiredElementCount,RequiredTimeOfDay,RequiredWeather,RequiredCave,BreedTime,BreedElements,OwnZeroBreedPercentage,OwnOneBreedPercentage,OwnTwoBreedPercentage,NormalSingleClonePercentage,NormalDoubleClonePercentage,SocialSingleClonePercentage,SocialDoubleClonePercentage,RiftSingleClonePercentage,RiftDoubleClonePercentage,VisibleElements,EvolvesFrom,Riftable,Elderable,EarnGold,EarnEtherium,EarnGem,MagicCost,EventSection,ReqiuredTrait,Quest,AirCollection,AnniversaryCollection,ApocalypseCollection,AuraCollection,AutumnCollection,CampingCollection,CelebrationCollection,ChrysalisCollection,ColdCollection,CrystallineCollection,DarkCollection,DreamCollection,EarthCollection,EnhancedCollection,FireCollection,GalacticCollection,GemstoneAllCollection,GemstoneAutumnCollection,GemstoneSpringCollection,GemstoneSummerCollection,GemstoneWinterCollection,GhostlyCollection,HiddenCollection,LegendaryCollection,LightCollection,LightningCollection,LoveCollection,MelodyCollection,MetalCollection,MonolithCollection,MoonCollection,MythicCollection,OlympusCollection,OmofNomsCollection,OrnamentalCollection,OvalithCollection,ParadiseCollection,PlantCollection,RainbowCollection,RiftCollection,SeasonalCollection,SnowflakeCollection,SpookyCollection,SummerCollection,SunCollection,SurfaceCollection,TreasureCollection,VernalCollection,VintageCollection,WaterCollection,WinterCollection,ZodiacCollection
Alure,Epic,unavailable,,,,,,Djinni,,Silver,,,,,,,,,100800,CWLAMTr,0.04,,,0.05,0.3,0.015,0.15,0.05,0.3,WTr,,true,false,110,240000,,,,,Song Of The Siren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paradise,,,,,,,,,,Treasure,,,,,
Amalgamate,Rare,unavailable,earth,fire,dark,,,Bone,,,,,,,,,,,72000,FED,0.031,,,0.01,0.3,0.1,0.2,0.01,0.3,FED,,true,false,155,360000,,12960,2,,Twin Rivalry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spooky,,,,,,,,,
Amaryllis,Epic,unavailable,plant,air,light,,,,,,,,,,,,,,68400,PAIAu,0.03,,,0.05,0.3,0.01,0.05,0.05,0.3,Au,,true,false,134,240000,,,,,Archetypal Acceptance,,,,Aura,,,,,,,,,,,,,,,,,,,,,,,Love,,,,,,,,,,,,,,,,,,,,,,,,,
Amber,Gemstone,unavailable,,,,,,Quake,,Evergreen,,,,,,,,,109575,PECLGe,0.03,,,0.05,0.07,0.03,0.06,0.05,0.07,Ge,,true,false,,240000,241920000,,,,Fossil Folly,,,,,,,,,,,,,,,,,Gemstone All,Gemstone Autumn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambrosia,Rare,unavailable,,,,,,Flower,,Delight,,,,,,,,,82800,PFEC,0.05,,,0.01,,0.04,0.1,0.01,,PFEC,,true,false,595,360000,,,,,The Sweetest Scent,,,,,,,,,,,,,,,,,,,,,,,,,,,Love,,,,,,,,,,,,,,,,,,,,,,,,,
Amethyst,Gemstone,unavailable,,,,,,Hail,,Sonic,,,,,,,,,100800,CLAGe,0.03,,,0.05,0.07,0.03,0.06,0.05,0.07,Ge,,true,false,,240000,120960000,,,,Gerias Mines,,,,,,,,,,,,,,,,,Gemstone All,,,,Gemstone Winter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ancestor,Rare,unavailable,,,,,,Panlong,,Redbeard,,,,,,,,,72000,PECA,0.035,,,0.01,0.3,0.1,0.2,0.01,0.3,PECA,,true,false,120,360000,,,,,Blessing of Wisdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vernal,,,,
Andromedan,Galaxy,permanent,,,,,,,,,,,,,,,,social,57600,PFECGa,,,,0,0,0.05,0.2,0,0,Ga,,true,false,400,240000,,,,,Celestial Duality,,,,,,,,,,,,,,,,Galactic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angler,Epic,unavailable,,,,,,Venture,,Gulletail,,,,,,,,,86400,CAOr,0.015,,,0.01,0.3,0.04,0.015,0.01,0.3,CAOr,,true,false,150,240000,,,,,Something Catchy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ornamental,,,,,,,,,,,,,,,,,
Antarian,Galaxy,permanent,,,,,,,,,,,,,,,,social,57600,FELIGa,,,,0,0,0.05,0.2,0,0,Ga,,true,false,105,240000,,,,,Flaming Starscape,,,,,,,,,,,,,,,,Galactic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antumbra,Rare,permanent,light,dark,rift,,,,,,,earth,,,,,,rift,0,IDR,0.05,,,0,0,0,0,0.01,0.15,IDR,,true,false,520,360000,,,,E,Pincer Power,,,,,,,,,,,Dark,,,,,,,,,,,,,,Light,,,,,,,,,,,,,,,Rift,,,,,,,,,,,,
Aperture,Rare,permanent,cold,water,,,,,,,,,,,,,,,43200,CW,0.05,,,0.01,0.3,0.1,0.2,0.01,0.3,CW,,true,false,390,360000,,,,,Port Enthusiast,,,,,,,,,Cold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water,,
Apex,Epic,unavailable,hidden,earth,light,,,,,,,,,,,,,,79200,EIHi,0.02,,,0.05,0.3,0.01,0.1,0.05,0.3,EIHi,,true,false,200,240000,,,,,At the Pinnacle,,,,,,Camping,,,,,,,,,,,,,,,,,Hidden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apocalypse,Epic,permanent,plant,cold,metal,lightning,,,,,,,,,,,,,72720,PCLMAp,0.03,,,,,0.01,0.05,,,Ap,,true,false,126,240000,,,,,Prophetic Pursuit,,,Apocalypse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vintage,,,
Aquacorn,Rare,permanent,water,cold,,,,,,,,,,,,,,,43200,CW,0.05,,,0.01,0.3,0.1,0.1,0.01,0.3,CW,,true,false,400,360000,,,,,Wet and Magical,,,,,,,,,Cold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water,,
Aquamarine,Gemstone,unavailable,,,,,,Iceberg,,River,,,,,,,,,111600,ECWGe,0.03,,,0.05,0.07,0.03,0.06,0.05,0.07,Ge,,true,false,,240000,120960000,,,,Tour de Cyan,,,,,,,,,,,,,,,,,Gemstone All,,,,Gemstone Winter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aquarian,Epic,unavailable,air,,,,,Midnight,,,,,,,,,,,104400,CLAD,0.033,,,0.05,0.3,0.04,0.15,0.05,0.3,AZo,,true,false,138,240000,,,,,Splish Splash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zodiac
Arbor,Rare,unavailable,,,,,,Tree,,Forest,,,,,,,,,36000,PE,0.04,,,0.01,,0.03,0.05,0.01,,PE,,true,false,800,360000,,,,,Garden Warden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vernal,,,,
Arcrider,Rare,unavailable,,,,,,Wolper,,Florea,,,,,,,,,86400,PEAI,0.0375,,,0.05,0.3,0.01,0.15,0.05,0.3,PEAI,,true,false,100,360000,,,,,Colourful Ride,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vernal,,,,
Arctic,Rare,permanent,cold,earth,,,,,,,,,,,,,,,79200,EC,0.05,,,0.01,,0.04,0.15,0.01,,EC,,true,false,900,360000,,,,,Northern Chills,,,,,,,,,Cold,,,,Earth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arcturian,Galaxy,permanent,,,,,,,,,,,,,,,,social,21600,FEADGa,,,,0,0,0.1,0.2,0,0,Ga,,true,false,175,240000,,,,,Pan Galactic Gargle,,,,,,,,,,,,,,,,Galactic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arid,Rare,permanent,light,earth,,,,,,,,,,,,,,,45000,EI,0.05,,,0.01,,0.04,0.15,,,EI,,true,false,1200,360000,,,,,Desert Duds,,,,,,,,,,,,,Earth,,,,,,,,,,,,Light,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ariesian,Epic,unavailable,fire,,,,,Solarflare,,,,,,,,,,,97200,PFECWLAMID,0.04,,,0.05,0.3,0.1,0.15,0.05,0.3,FZo,,true,false,136,240000,,,,,Fire Hazard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zodiac
Armament,Rare,unavailable,metal,light,fire,,,,,,,,,,,,,,86400,FMI,0.005,0.02,,0.0075,0.3,0.015,0.1,0.0075,0.3,FMI,,true,false,440,360000,,,,,Stark Strength,,,,,,,,,,,,,,Enhanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ash,Hybrid,permanent,plant,lightning,,,,,,,,,,,,,,,21600,PL,,,,0.01,,0.1,0.2,0.01,,PL,,true,false,450,360000,,,,,Phoenix Edict,,,,,,,,,,,,,,,,,,,,,,,,,,Lightning,,,,,,,,,,,,Plant,,,,,,,,,,,,,,
Astraline,Epic,unavailable,air,light,,,,Petunia,,,,,,,,,,,86400,FECLAIDr,0.04,,,0.05,0.3,0.01,0.15,0.05,0.3,Dr,,true,false,200,240000,,,,,Astral Projection,,,,,,,,,,,,Dream,,,,,,,,,,,,,,,Love,,,,,,,,,,,,,,,,,,,,,,,,,
Atramento,Epic,unavailable,hidden,dark,lightning,,,,,,,,,,,,,,82800,LDHi,0.02,,,0.05,0.3,0.01,0.1,0.05,0.3,LDHi,,true,false,200,240000,,,,,Ink-redible Experience,,,,,,Camping,,,,,,,,,,,,,,,,,Hidden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aubergine,Epic,permanent,,,,,,Aubergine,,Aubergine,,,,,,,,,75000,PFEADHiSe,0,,,0,0.3,0,0.3,0,0.3,HiSe,Berry,true,false,400,240000,,,,,Purple Royale,,,,,,,,,,,,,,,,,,,,,,,Hidden,,,,,,,,,,,Om of Noms,,,,,,,Seasonal,,,,,,,,,,,
Auroch,Rare,permanent,metal,earth,,,,,,,,,,,,,,,79200,EM,0.04,,,0.01,,0.04,0.1,0.01,,EM,,true,false,650,360000,,,,,Bullish Tendencies,,,,,,,,,,,,,Earth,,,,,,,,,,,,,,,,Metal,,,,,,,,,,,,,,Spooky,,,,,,,,,
Aurora,Epic,unavailable,,,,,,,,,,,,,4,,,,194400,PFECWLAMIDRb,0.04,0.01,,,,0.03,0.05,,,Rb,,true,false,80,240000,,,,,Boreal Brink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rainbow,,,,,,,,,,,,,
Aurum,Epic,unavailable,,,,,,Gold,,Gawk,,,,,,,,,108000,PFWAMITr,0.0455,,,0.05,0.3,0.015,0.15,0.05,0.3,Tr,,true,false,100,240000,,,,,Oh Shiny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treasure,,,,,
Autumn,Epic,unavailable,fire,cold,air,,,,,,,,,,,,,,86400,FCASe,0.04,,,,,0.03,0.05,,,Se,,true,false,180,240000,,,,,The Fall,,,,,Autumn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seasonal,,,,,,,,,,,
Avarice,Epic,permanent,,,,,,Avarice,,Avarice,,,,,,,,,43200,PFECOr,0,,,0,0.3,0,0.3,0,0.3,FECOr,Coal,true,false,180,240000,,,,,Enrichment En Masse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ornamental,,,,,,,,,,,,,,,,,
Azurite,Gemstone,unavailable,,,,,,Glacier,,Meteor,,,,,,,,,126000,ECAMCr,0.03,,,0.05,0.07,0.03,0.06,0.05,0.07,Cr,,true,false,,240000,120960000,,,,Gerias Gauntlet,,,,,,,,,,Crystalline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahamut,Mythic,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mythic,,,,,,,,,,,,,,,,,,,,
Barbarous,Epic,unavailable,,,,,,Oni,,Ragnarok,,,,,,,,,49500,FECDAp,0.04,0.01,,0.0075,0.3,0.015,0.1,0.0075,0.3,Ap,,true,false,266,240000,,9626,3,,Ruins of War,,,Apocalypse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spooky,,,,,,,,,
Barite,Gemstone,unavailable,,,,,,Hail,,Dodo,,,,,,,,,126000,ECLACr,0.03,,,0.05,0.07,0.03,0.06,0.05,0.07,Cr,,true,false,,240000,120960000,,,,Colorless Chasm,,,,,,,,,,Crystalline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bastion,Rare,unavailable,light,lightning,cold,,,,,,,,,,,,,,86400,CLI,0.005,0.02,,0.0075,0.3,0.015,0.1,0.0075,0.3,CLI,,true,false,372,360000,,,,,One For All,,,,,,,,,,,,,,Enhanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bearded,Rare,unavailable,metal,,,,,Mountain,,,,,,,,,,,54000,ECM,0.05,,,0.01,,0.03,0.1,0.01,,ECM,,true,false,666,360000,,,,,Close Shave,,,,,,,Celebration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Begonia,Epic,unavailable,water,fire,metal,,,,,,,,,,,,,,61200,FWMAu,0.02,,,0.05,0.3,0.01,0.05,0.05,0.3,Au,,true,false,223,240000,,,,,Brash Bargaining,,,,Aura,,,,,,,,,,,,,,,,,,,,,,,Love,,,,,,,,,,,,,,,,,,,,,,,,,
Bellflower,Rare,permanent,light,plant,,,,,,,,,,,,,,,57600,PI,0.03,,,0.01,0.3,0.04,0.15,0.01,0.3,PI,,true,false,350,360000,,,,,Flower Power,,,,,,,,,,,,,,,,,,,,,,,,,Light,,,,,,,,,,,,,Plant,,,,,,,,,,,,,,
Berry,Epic,unavailable,fire,water,light,,,,,,,,,,,,,,57600,FWISe,0.03,,,,,0.02,0.05,,,Se,,true,false,150,240000,,,,,Fearsome Fruits,,,,,Autumn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Om of Noms,,,,,,,Seasonal,,,,,,,,,,,
Bicentennial,Rare,unavailable,lightning,fire,air,,,,,,,,,,,,,,72000,FLA,0.02,,,0.005,,0.01,0.05,0.005,,FLA,,true,false,500,360000,,,,,Ten Score Trench,,,,,,,Celebration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vintage,,,
Bilby,Rare,unavailable,,,,,,Cotton,,Plains,,,,,,,,,50400,PFLI,0.02,,,0.05,,0.005,0.1,0.02,,PFLI,,true,false,450,360000,,,,,Hop to It,,,,,,,Celebration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Binky,Epic,unavailable,,,,,,Nightmare,,Tranquil,,,,,,,,,86400,FEWAIDDrSu,0.0425,,,0.01,0.3,0.1,0.2,0.01,0.3,DrSu,,true,false,120,240000,,,,,Jungle Juggle,,,,,,,,,,,,Dream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sun,,,,,,,
Bismuth,Gemstone,unavailable,,,,,,Glass,,Forge,,,,,,,,,124200,FEMICr,0.03,,,0.05,0.07,0.03,0.06,0.05,0.07,Cr,,true,false,,240000,120960000,,,,Refraction Extraction,,,,,,,,,,Crystalline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizurian,Galaxy,permanent,,,,,,,,,,,,,,,,social,28800,CLADGa,,,,0,0,0.05,0.2,0,0,Ga,,true,false,400,240000,,,,,Paired Pulsars,,,,,,,,,,,,,,,,Galactic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blazing,Hybrid,permanent,fire,air,,,,,,,,,,,,,,,28800,FA,,,,0.01,,0.1,0.2,0.01,,FA,,true,false,875,360000,,,,,Fiery Forage,Air,,,,,,,,,,,,,,Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blazing Gale,Rare,unavailable,fire,air,,,,,,,,,,,,,,,79200,FA,0.04,,,0.01,0.3,0.015,0.1,0.01,0.3,FA,,true,false,500,360000,,,,,Pi Roh's Paradise,,,,,,,Celebration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blightwing,Rare,permanent,fire,air,rift,,,,,,,,dark,,,,,rift,0,FAR,0.025,,,0,0,0,0,0.01,0.15,FAR,,true,false,375,360000,,,,D,Timeless Tail,Air,,,,,,,,,,,,,,Fire,,,,,,,,,,,,,,,,,,,,,,,,,Rift,,,,,,,,,,,,
Blizzard,Hybrid,permanent,air,cold,,,,,,,,,,,,,,,36000,CA,,,,0.01,,0.1,0.2,0.01,,CA,,true,false,857,360000,,,,,Hall of the Ice Kings,Air,,,,,,,,Cold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bloatato,Epic,permanent,,,,,,Bloatato,,Bloatato,,,,,,,,,58000,EWADHiSe,0,,,0,0.3,0,0.3,0,0.3,HiSe,Sprout,true,false,575,240000,,,,,Starchy Goodness,,,,,,,,,,,,,,,,,,,,,,,Hidden,,,,,,,,,,,Om of Noms,,,,,,,Seasonal,,,,,,,,,,,
Bloom,Rare,unavailable,plant,,,,,Storm,,,,,,,,,,,46800,PCL,0.04,,,0.01,,0.02,0.1,0.01,,PCL,,true,false,500,360000,,,,,Efflorescent Expedition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vernal,,,,
Blue Fire,Rare,permanent,fire,cold,,,,,,,,,,,,,,,43200,FC,0.05,,,0.01,,0.04,0.15,0.01,,FC,,true,false,366,360000,,,,,Scorched Ice,,,,,,,,,Cold,,,,,,Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Moon,Epic,unavailable,cold,lightning,,,,,,,,,,,,,,,106308,CLMo,0.04,0.03,,,,0.03,0.05,,,Mo,,true,false,125,240000,,,,,Lunar Blues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moon,,,,,,,,,,,,,,,,,,Vintage,,,
Bog,Rare,unavailable,water,plant,fire,,,,,,,,,,,,,,86400,PFW,0.04,,,0,0.3,0,0.1,,0.3,PFW,,true,false,650,360000,,2280,1,,Log in the Fog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spooky,,,,,,,,,
Bogberry,Epic,unavailable,,,,,,Bog,,Berry,,,,,,,,,57600,PFWISe,0.03,,,0.01,,0.02,0.1,0.01,,PWISe,,true,false,145,240000,,,,,Six-Fingered Lake,,,,,Autumn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Om of Noms,,,,,,,Seasonal,,,,,,,,,,,
Bone,Rare,unavailable,earth,fire,,,,,,,,,,,,,,,36000,FE,0.05,,,0.01,,0.04,0.1,0.01,,FE,,true,false,900,360000,,760,1,,Skeletal Pedestal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spooky,,,,,,,,,
Bonescale,Rare,permanent,metal,cold,,,,,,,,,,,,,,,79200,CM,0.02,,,0.01,0.3,0.04,0.15,0.01,0.3,CM,,true,false,530,360000,,,,,Calcified Crusade,,,,,Autumn,,,,Cold,,,,,,,,,,,,,,,,,,,,Metal,,,,,,,,,,,,,,,,,,,,,,,
Bouldershock,Rare,permanent,lightning,earth,,,,,,,,,,,,,,,54000,EL,0.025,,,0.01,0.3,0.04,0.15,0.01,0.3,EL,,true,false,800,360000,,,,,Shocked and Shaken,,,,,,,,,,,,,Earth,,,,,,,,,,,,,Lightning,,,,,,,,,,,,,,,,,,,,,,,,,,
Bounteous,Rare,unavailable,earth,plant,fire,,,,,,,,,,,,,,50400,PFE,0.05,,,0.01,,0.02,0.1,0.01,,PFE,,true,false,775,360000,,,,,Bounding Around,,,,,Autumn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Om of Noms,,,,,,,,,,,,,,,,,,
Bouquet,Rare,unavailable,water,,,,,Flower,,,,,,,,,,,32400,PFW,0.05,,,0.01,,0.03,0.1,0.01,,PFW,,true,false,500,360000,,,,,Floral Flight,,,,,,,Celebration,,,,,,,,,,,,,,,,,,,,Love,,,,,,,,,,,,,,,,,,,,,Vernal,,,,
Bramble,Rare,permanent,dark,plant,,,,,,,,,,,,,,,64800,PD,0.05,,,0.01,,0.02,0.1,0.01,,PD,,true,false,500,360000,,,,,Razor Ramble,,,,,,,,,,,Dark,,,,,,,,,,,,,,,,,,,,,,,,,,,Plant,,,,,,,,,,,,,,
Brass,Hybrid,permanent,fire,metal,,,,,,,,,,,,,,,18000,FM,,,,0.01,,0.1,0.2,0.01,,FM,,true,false,1450,360000,,,,,Doubley Alloyed,,,,,,,,,,,,,,,Fire,,,,,,,,,,,,,,Metal,,,,,,,,,,,,,,,,,,,,,,,
Brilliant,Rare,permanent,lightning,fire,,,,,,,,,,,,,,,54000,FL,0.03,,,0.01,0.3,0.04,0.15,0.01,0.3,FL,,true,false,520,360000,,,,,Intuitive Innovation,,,,,,,,,,,,,,,Fire,,,,,,,,,,,Lightning,,,,,,,,,,,,,,,,,,,,,,,,,,
Brizoni,Rare,unavailable,light,fire,earth,plant,,,,,,,,,,,,,86400,PFEI,0.04,,,0.01,0.3,0.1,0.2,0.01,0.3,PFEI,,true,false,140,360000,,,,,Perfectly Balanced,,,,,,,Celebration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronze,Epic,permanent,earth,metal,,,,,,,,,,,,,,,165600,EMTr,0.035,,,0.1,,0.03,0.1,,,Tr,,true,false,275,240000,,,,,Lerner's Toyshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treasure,,,,,
Bronze Olympus,Epic,permanent,earth,lightning,air,,,,,,,,,,,,,,126000,ELOl,0.05,,,,,0.04,0.05,,,Ol,,true,false,400,240000,,,,,Olympian Struggle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Olympus,,,,,,,,,,,,,,,,,,,
Brood,Rare,unavailable,,,,,,Dracabra,,Gatren,,,,,,,,,50400,FELD,0.031,,,0.01,0.3,0.1,0.2,0.01,0.3,FELD,,true,false,181,360000,,12000,2,,Family Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spooky,,,,,,,,,
Brutiful,Epic,unavailable,,,,,,Thorn,,Masque,,,,,,,,,57600,PFECLAMAu,0.0245,,,0.05,0.3,0.01,0.15,0.05,0.3,Au,,true,false,165,240000,,,,,Duality,,,,Aura,,,,,,,,,,,,,,,,,,,,,,,Love,,,,,,,,,,,,,,,,,,,,,,,,,
