Dragon,Rarity,BreedAvailability,BreedElementOne,BreedElementTwo,BreedElementTwo,BreedElementThree,BreedElementFive,BreedDragonOne,BreedDragonTraitOne,BreedDragonTwo,BreedDragonTraitTwo,RequiredRiftAlignment,RequiredRiftTrait,RequiredElementCount,RequiredTimeOfDay,RequiredWeather,RequiredCave,BreedTime,BreedElements,BaseBreedChance,OwnOneBreedChance,OwnTwoBreedChance,NormalSingleClone,NormalDoubleClone,SocialSingleClone,SocialDoubleClone,RiftSingleClone,RiftDoubleClone,VisibleElements,EvolvesFrom,Riftable,Elderable,EarnGold,EarnEtherium,EarnGem,MagicCost,EventSection,ReqiuredTrait,Quest
Ambrosia,Rare,unavailable,,,,,,Flower,,Delight,,,,,,,,82800,PFEC,0.05,,,0.01,,0.04,0.1,0.01,,PFEC,,TRUE,FALSE,595,360000,,,,,The Sweetest Scent
Amethyst,Gemstone,unavailable,,,,,,Hail,,Sonic,,,,,,,,100800,CLAGe,0.03,,,0.05,0.07,0.03,0.06,0.05,0.07,Ge,,TRUE,FALSE,,240000,120960000,,,,Gerias Mines
Ancestor,Rare,unavailable,,,,,,Panlong,,Redbeard,,,,,,,,72000,PECA,0.035,,,0.01,0.3,0.1,0.2,0.01,0.3,PECA,,TRUE,FALSE,120,360000,,,,,Blessing of Wisdom
Andromedan,Galaxy,permanent,,,,,,,,,,,,,,,social,57600,PFECGa,,,,0,0,0.05,0.2,0,0,Ga,,TRUE,FALSE,400,240000,,,,,Celestial Duality
Angler,Epic,unavailable,,,,,,Venture,,Gulletail,,,,,,,,86400,CAOr,0.015,,,0.01,0.3,0.04,0.015,0.01,0.3,CAOr,,TRUE,FALSE,150,240000,,,,,Something Catchy
Antarian,Galaxy,permanent,,,,,,,,,,,,,,,social,57600,FELIGa,,,,0,0,0.05,0.2,0,0,Ga,,TRUE,FALSE,105,240000,,,,,Flaming Starscape
Antumbra,Rare,permanent,light,dark,rift,,,,,,,earth,,,,,rift,0,IDR,0.05,,,0,0,0,0,0.01,0.15,IDR,,TRUE,FALSE,520,360000,,,,E,Pincer Power
Aperture,Rare,permanent,cold,water,,,,,,,,,,,,,,43200,CW,0.05,,,0.01,0.3,0.1,0.2,0.01,0.3,CW,,TRUE,FALSE,390,360000,,,,,Port Enthusiast
Apex,Epic,unavailable,hidden,earth,light,,,,,,,,,,,,,79200,EIHi,0.02,,,0.05,0.3,0.01,0.1,0.05,0.3,EIHi,,TRUE,FALSE,200,240000,,,,,At the Pinnacle
Apocalypse,Epic,permanent,plant,cold,metal,lightning,,,,,,,,,,,,72720,PCLMAp,0.03,,,,,0.01,0.05,,,Ap,,TRUE,FALSE,126,240000,,,,,Prophetic Pursuit
Aquacorn,Rare,permanent,water,cold,,,,,,,,,,,,,,43200,CW,0.05,,,0.01,0.3,0.1,0.1,0.01,0.3,CW,,TRUE,FALSE,400,360000,,,,,Wet and Magical
Aquamarine,Gemstone,unavailable,,,,,,Iceberg,,River,,,,,,,,111600,ECWGe,0.03,,,0.05,0.07,0.03,0.06,0.05,0.07,Ge,,TRUE,FALSE,,240000,120960000,,,,Tour de Cyan
Aquarian,Epic,unavailable,air,,,,,Midnight,,,,,,,,,,104400,CLAD,0.033,,,0.05,0.3,0.04,0.15,0.05,0.3,AZo,,TRUE,FALSE,138,240000,,,,,Splish Splash
Arbor,Rare,unavailable,,,,,,Tree,,Forest,,,,,,,,36000,PE,0.04,,,0.01,,0.03,0.05,0.01,,PE,,TRUE,FALSE,800,360000,,,,,Garden Warden
Arcrider,Rare,unavailable,,,,,,Wolper,,Florea,,,,,,,,86400,PEAI,0.0375,,,0.05,0.3,0.01,0.15,0.05,0.3,PEAI,,TRUE,FALSE,100,360000,,,,,Colourful Ride
Arctic,Rare,permanent,cold,earth,,,,,,,,,,,,,,79200,EC,0.05,,,0.01,,0.04,0.15,0.01,,EC,,TRUE,FALSE,900,360000,,,,,Northern Chills
Arcturian,Galaxy,permanent,,,,,,,,,,,,,,,social,21600,FEADGa,,,,0,0,0.1,0.2,0,0,Ga,,TRUE,FALSE,175,240000,,,,,Pan Galactic Gargle
Arid,Rare,permanent,light,earth,,,,,,,,,,,,,,45000,EI,0.05,,,0.01,,0.04,0.15,,,EI,,TRUE,FALSE,1200,360000,,,,,Desert Duds
Ariesian,Epic,unavailable,fire,,,,,Solarflare,,,,,,,,,,97200,PFECWLAMID,0.04,,,0.05,0.3,0.1,0.15,0.05,0.3,FZo,,TRUE,FALSE,136,240000,,,,,Fire Hazard
Armament,Rare,unavailable,metal,light,fire,,,,,,,,,,,,,86400,FMI,0.005,0.02,,0.0075,0.3,0.015,0.1,0.0075,0.3,FMI,,TRUE,FALSE,440,360000,,,,,Stark Strength
Ash,Hybrid,permanent,plant,lightning,,,,,,,,,,,,,,21600,PL,,,,0.01,,0.1,0.2,0.01,,PL,,TRUE,FALSE,450,360000,,,,,Phoenix Edict
Astraline,Epic,unavailable,air,light,,,,Petunia,,,,,,,,,,86400,FECLAIDr,0.04,,,0.05,0.3,0.01,0.15,0.05,0.3,Dr,,TRUE,FALSE,200,240000,,,,,Astral Projection
Atramento,Epic,unavailable,hidden,dark,lightning,,,,,,,,,,,,,82800,LDHi,0.02,,,0.05,0.3,0.01,0.1,0.05,0.3,LDHi,,TRUE,FALSE,200,240000,,,,,Ink-redible Experience
Aubergine,Epic,cloneable,,,,,,,,,,,,,,,,75000,PFEADHiSe,0,,,0,0.3,0,0.3,0,0.3,HiSe,Berry,TRUE,FALSE,400,240000,,,,,Purple Royale
Auroch,Rare,permanent,metal,earth,,,,,,,,,,,,,,79200,EM,0.04,,,0.01,,0.04,0.1,0.01,,EM,,TRUE,FALSE,650,360000,,,,,Bullish Tendencies
Aurora,Epic,unavailable,,,,,,,,,,,,4,,,,194400,PFECWLAMIDRb,0.04,0.01,,,,0.03,0.05,,,Rb,,TRUE,FALSE,80,240000,,,,,Boreal Brink
Aurum,Epic,unavailable,,,,,,Gold,,Gawk,,,,,,,,108000,PFWAMITr,0.0455,,,0.05,0.3,0.015,0.15,0.05,0.3,Tr,,TRUE,FALSE,100,240000,,,,,Oh Shiny
Autumn,Epic,unavailable,fire,cold,air,,,,,,,,,,,,,86400,FCASe,0.04,,,,,0.03,0.05,,,Se,,TRUE,FALSE,180,240000,,,,,The Fall
Avarice,Epic,cloneable,,,,,,,,,,,,,,,,43200,PFECOr,0,,,0,0.3,0,0.3,0,0.3,FECOr,Coal,TRUE,FALSE,180,240000,,,,,Enrichment En Masse
Azurite,Gemstone,unavailable,,,,,,Glacier,,Meteor,,,,,,,,126000,ECAMCr,0.03,,,0.05,0.07,0.03,0.06,0.05,0.07,Cr,,TRUE,FALSE,,240000,120960000,,,,Gerias Gauntlet
Bahamut,Mythic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,
Barbarous,Epic,unavailable,,,,,,Oni,,Ragnarok,,,,,,,,49500,FECDAp,0.04,0.01,,0.0075,0.3,0.015,0.1,0.0075,0.3,Ap,,TRUE,FALSE,266,240000,,9626,3,,Ruins of War
Barite,Gemstone,unavailable,,,,,,Hail,,Dodo,,,,,,,,126000,ECLACr,0.03,,,0.05,0.07,0.03,0.06,0.05,0.07,Cr,,TRUE,FALSE,,240000,120960000,,,,Colorless Chasm
Bastion,Rare,unavailable,light,lightning,cold,,,,,,,,,,,,,86400,CLI,0.005,0.02,,0.0075,0.3,0.015,0.1,0.0075,0.3,CLI,,TRUE,FALSE,372,360000,,,,,One For All
Bearded,Rare,unavailable,metal,,,,,Mountain,,,,,,,,,,54000,ECM,0.05,,,0.01,,0.03,0.1,0.01,,ECM,,TRUE,FALSE,666,360000,,,,,Close Shave
Begonia,Epic,unavailable,water,fire,metal,,,,,,,,,,,,,61200,FWMAu,0.02,,,0.05,0.3,0.01,0.05,0.05,0.3,Au,,TRUE,FALSE,223,240000,,,,,Brash Bargaining
Bellflower,Rare,permanent,light,plant,,,,,,,,,,,,,,57600,PI,0.03,,,0.01,0.3,0.04,0.15,0.01,0.3,PI,,TRUE,FALSE,350,360000,,,,,Flower Power
Berry,Epic,unavailable,fire,water,light,,,,,,,,,,,,,57600,FWISe,0.03,,,,,0.02,0.05,,,Se,,TRUE,FALSE,150,240000,,,,,Fearsome Fruits
Bicentennial,Rare,unavailable,lightning,fire,air,,,,,,,,,,,,,72000,FLA,0.02,,,0.005,,0.01,0.05,0.005,,FLA,,TRUE,FALSE,500,360000,,,,,Ten Score Trench
Bilby,Rare,unavailable,,,,,,Cotton,,Plains,,,,,,,,50400,PFLI,0.02,,,0.05,,0.005,0.1,0.02,,PFLI,,TRUE,FALSE,450,360000,,,,,Hop to It
Binky,Epic,unavailable,,,,,,Nightmare,,Tranquil,,,,,,,,86400,FEWAIDDrSu,0.0425,,,0.01,0.3,0.1,0.2,0.01,0.3,DrSu,,TRUE,FALSE,120,240000,,,,,Jungle Juggle
Bismuth,Gemstone,unavailable,,,,,,Glass,,Forge,,,,,,,,124200,FEMICr,0.03,,,0.05,0.07,0.03,0.06,0.05,0.07,Cr,,TRUE,FALSE,,240000,120960000,,,,Refraction Extraction
Bizurian,Galaxy,permanent,,,,,,,,,,,,,,,social,28800,CLADGa,,,,0,0,0.05,0.2,0,0,Ga,,TRUE,FALSE,400,240000,,,,,Paired Pulsars
Blazing,Hybrid,permanent,fire,air,,,,,,,,,,,,,,28800,FA,,,,0.01,,0.1,0.2,0.01,,FA,,TRUE,FALSE,875,360000,,,,,Fiery Forage
Blazing Gale,Rare,unavailable,fire,air,,,,,,,,,,,,,,79200,FA,0.04,,,0.01,0.3,0.015,0.1,0.01,0.3,FA,,TRUE,FALSE,500,360000,,,,,Pi Roh's Paradise
Blightwing,Rare,permanent,fire,air,rift,,,,,,,,dark,,,,rift,0,FAR,0.025,,,0,0,0,0,0.01,0.15,FAR,,TRUE,FALSE,375,360000,,,,D,Timeless Tail
Blizzard,Hybrid,permanent,air,cold,,,,,,,,,,,,,,36000,CA,,,,0.01,,0.1,0.2,0.01,,CA,,TRUE,FALSE,857,360000,,,,,Hall of the Ice Kings
Bloatato,Epic,cloneable,,,,,,,,,,,,,,,,58000,EWADHiSe,0,,,0,0.3,0,0.3,0,0.3,HiSe,Sprout,TRUE,FALSE,575,240000,,,,,Starchy Goodness
Bloom,Rare,unavailable,plant,,,,,Storm,,,,,,,,,,46800,PCL,0.04,,,0.01,,0.02,0.1,0.01,,PCL,,TRUE,FALSE,500,360000,,,,,Efflorescent Expedition
Blue Fire,Rare,permanent,fire,cold,,,,,,,,,,,,,,43200,FC,0.05,,,0.01,,0.04,0.15,0.01,,FC,,TRUE,FALSE,366,360000,,,,,Scorched Ice
Blue Moon,Epic,unavailable,cold,lightning,,,,,,,,,,,,,,106308,CLMo,0.04,0.03,,,,0.03,0.05,,,Mo,,TRUE,FALSE,125,240000,,,,,Lunar Blues
Bog,Rare,unavailable,water,plant,fire,,,,,,,,,,,,,86400,PFW,0.04,,,0,0.3,0,0.1,,0.3,PFW,,TRUE,FALSE,650,360000,,2280,1,,Log in the Fog
Bogberry,Epic,unavailable,,,,,,Bog,,Berry,,,,,,,,57600,PFWISe,0.03,,,0.01,,0.02,0.1,0.01,,PWISe,,TRUE,FALSE,145,240000,,,,,Six-Fingered Lake
Bone,Rare,unavailable,earth,fire,,,,,,,,,,,,,,36000,FE,0.05,,,0.01,,0.04,0.1,0.01,,FE,,TRUE,FALSE,900,360000,,760,1,,Skeletal Pedestal
Bonescale,Rare,permanent,metal,cold,,,,,,,,,,,,,,79200,CM,0.02,,,0.01,0.3,0.04,0.15,0.01,0.3,CM,,TRUE,FALSE,530,360000,,,,,Calcified Crusade
Bouldershock,Rare,permanent,lightning,earth,,,,,,,,,,,,,,54000,EL,0.025,,,0.01,0.3,0.04,0.15,0.01,0.3,EL,,TRUE,FALSE,800,360000,,,,,Shocked and Shaken
Bounteous,Rare,unavailable,earth,plant,fire,,,,,,,,,,,,,50400,PFE,0.05,,,0.01,,0.02,0.1,0.01,,PFE,,TRUE,FALSE,775,360000,,,,,Bounding Around
Bouquet,Rare,unavailable,water,,,,,Flower,,,,,,,,,,32400,PFW,0.05,,,0.01,,0.03,0.1,0.01,,PFW,,TRUE,FALSE,500,360000,,,,,Floral Flight
Bramble,Rare,permanent,dark,plant,,,,,,,,,,,,,,64800,PD,0.05,,,0.01,,0.02,0.1,0.01,,PD,,TRUE,FALSE,500,360000,,,,,Razor Ramble
Brass,Hybrid,permanent,fire,metal,,,,,,,,,,,,,,18000,FM,,,,0.01,,0.1,0.2,0.01,,FM,,TRUE,FALSE,1450,360000,,,,,Doubley Alloyed
Brilliant,Rare,permanent,lightning,fire,,,,,,,,,,,,,,54000,FL,0.03,,,0.01,0.3,0.04,0.15,0.01,0.3,FL,,TRUE,FALSE,520,360000,,,,,Intuitive Innovation
Brizoni,Rare,unavailable,light,fire,earth,plant,,,,,,,,,,,,86400,PFEI,0.04,,,0.01,0.3,0.1,0.2,0.01,0.3,PFEI,,TRUE,FALSE,140,360000,,,,,Perfectly Balanced
Bronze,Epic,permanent,earth,metal,,,,,,,,,,,,,,165600,EMTr,0.035,,,0.1,,0.03,0.1,,,Tr,,TRUE,FALSE,275,240000,,,,,Lerner's Toyshop
Bronze Olympus,Epic,permanent,earth,lightning,air,,,,,,,,,,,,,126000,ELOl,0.05,,,,,0.04,0.05,,,Ol,,TRUE,FALSE,400,240000,,,,,Olympian Struggle
Brood,Rare,unavailable,,,,,,Dracabra,,Gatren,,,,,,,,50400,FELD,0.031,,,0.01,0.3,0.1,0.2,0.01,0.3,FELD,,TRUE,FALSE,181,360000,,12000,2,,Family Time
Brutiful,Epic,unavailable,,,,,,Thorn,,Masque,,,,,,,,57600,PFECLAMAu,0.0245,,,0.05,0.3,0.01,0.15,0.05,0.3,Au,,TRUE,FALSE,165,240000,,,,,Duality
Bubble,Rare,permanent,air,water,,,,,,,,,,,,,,36000,WA,0.05,,,0.01,,0.04,0.1,0.01,,WA,,TRUE,FALSE,740,360000,,,,,Sudsy Shores
Bumi,Epic,unavailable,,,,,,Pixie,,Flowerhop,,,,,,,,68400,EAISe,0.0375,,,0.05,0.3,0.01,0.15,0.05,0.3,Se,,TRUE,FALSE,170,240000,,,,,Spring to Action
Burglehoo,Epic,cloneable,,,,,,,,,,,,,,,,43200,PFECOr,0,,,0,0.3,0,0.3,0,0.3,FECOr,Coal,TRUE,FALSE,160,240000,,,,,Not a Grump Nor a Heel
Burrow,Rare,permanent,earth,fire,,,,,,,,,,,,,,36000,FE,0.05,,,0.01,0.3,0.04,0.15,0.01,0.3,FE,,TRUE,FALSE,400,360000,,,,,Curious Explorer
Busby,Epic,permanent,,,,,,Lacewing,,Marbletail,,,,,,,,151200,PFECCh,0.02,,,,0.3,0.01,0.05,,0.3,Ch,,TRUE,FALSE,223,240000,,,,,Hive Mind
Bushwhack,Rare,unavailable,earth,fire,,,,Bramble,,,,,,,,,,97200,PFED,0.0275,,,0.01,0.3,0.1,0.2,0.01,0.3,PFED,,TRUE,FALSE,165,360000,,,,,Whacky Mazes
Buttercup,Rare,unavailable,air,light,,,,Giddle,,,,,,,,,,64800,ECAI,0.03,,,0.01,0.3,0.1,0.2,0.01,0.3,ECAI,,TRUE,FALSE,180,360000,,,,,Fluffy Jewel
Butterfly,Rare,unavailable,air,,,,,Firefly,,,,,,,,,,43200,FLA,0.05,,,0.01,,0.03,0.1,0.01,,FLA,,TRUE,FALSE,400,360000,,,,,Sykie Meadows
Cactus,Hybrid,permanent,plant,lightning,,,,,,,,,,,,,,1800,PL,,,,0.01,,0.1,0.2,0.01,,PL,,TRUE,FALSE,450,360000,,,,,Glochid Grounds
Candescent,Rare,permanent,cold,light,,,,,,,,,,,,,,32400,CI,0.05,,,0.01,,0.04,0.15,0.01,,CI,,TRUE,FALSE,925,360000,,,,,Glowing Descent
Candlecrown,Rare,unavailable,fire,,,,,Holly,,,,,,,,,,64800,PFEC,0.02,,,0.01,,0.015,0.1,0.01,,PFEC,,TRUE,FALSE,500,360000,,,,,The Warmth of Cheer
Canna,Rare,unavailable,water,plant,light,,,,,,,,,,,,,72000,PWI,0.03,,,0.05,0.3,0.05,0.1,0.05,0.3,PWI,,TRUE,FALSE,200,360000,,,,,It Comes In Makeshift Boat
Cansian,Epic,unavailable,water,,,,,Moon,,,,,,,,,,100800,CWL,0.04,,,0.05,0.3,0.1,0.15,0.05,0.3,WZo,,TRUE,FALSE,137,240000,,,,,Clamps
Canvas,Epic,unavailable,,,,,,Sumi,,Iron Blossom,,,,,,,,108000,PFEAMAu,0.02,,,0.01,0.3,0.04,0.15,0.01,0.3,Au,,TRUE,FALSE,120,240000,,,,,A True Masterpiece
Capricornian,Epic,unavailable,earth,,,,,Chimmit,,,,,,,,,,86400,EWLID,0.035,,,0.05,0.3,0.1,0.15,0.05,0.3,EZo,,TRUE,FALSE,134,240000,,,,,Headstrong
Carnival,Rare,unavailable,earth,,,,,Pepper,,,,,,,,,,43200,PFE,0.05,,,0.01,,0.02,0.1,0.01,,PFE,,TRUE,FALSE,850,360000,,,,,Jubilee Spree
Cave,Hybrid,permanent,dark,earth,,,,,,,,,,,,,,39600,ED,,,,0.01,,0.1,0.2,0.01,,ED,,TRUE,FALSE,1200,360000,,,,,Down Underground
Celerulean,Galaxy,permanent,,,,,,,,,,,,,,,social,86400,FCWIGa,,,,0,0,0.1,0.2,0,0,Ga,,TRUE,FALSE,175,240000,,,,,Blue Odyssey
Celtic,Epic,unavailable,plant,,,,,Storm,,,,,,,,,,61200,PCLRb,0.03,0.02,,,,0.01,0.05,,,Rb,,TRUE,FALSE,115,240000,,,,,Knots for Naught
Century,Rare,unavailable,earth,water,cold,,,,,,,,,,,,,36000,ECW,0.03,,,0.005,0.3,0.01,0.05,0.005,0.3,ECW,,TRUE,FALSE,600,360000,,,,,Five Score Frenzy
Cerberus,Epic,unavailable,,,,,,Hydra,,Obsidian,,,,,,,,118800,FEWLOl,0.03,,,0.05,0.3,0.02,0.05,0.05,0.3,Ol,,TRUE,FALSE,250,240000,,4500,2,,Hall of Halitosis
Chaiko,Rare,unavailable,,,,,,Longcicle,,Starshine,,,,,,,,54000,CWA,0.03,,,0.01,0.3,0.1,0.2,0.01,0.3,CWA,,TRUE,FALSE,220,360000,,,,,Lever Physics
Char,Rare,permanent,dark,fire,,,,,,,,,,,,,,79200,FD,0.05,,,0.01,,0.04,0.15,0.01,,FD,,TRUE,FALSE,430,360000,,,,,Across the Acrostic Sea
Charlatan,Epic,unavailable,,,,,,Apocalypse,,Spirit,,,,,,,,57600,FECDAp,0.04,0.01,,0.0075,0.3,0.015,0.1,0.0075,0.3,Ap,,TRUE,FALSE,300,240000,,8106,3,,Composed Conquest
Cherrie,Epic,unavailable,,,,,,Sakura,,Sumi,,,,,,,,100800,PFEASe,0.0375,,,0.05,0.3,0.015,0.15,0.05,0.3,PSe,,TRUE,FALSE,95,240000,,,,,Merry Cherry
Chikipea,Rare,unavailable,plant,earth,light,air,,,,,,,,,,,,68400,PEAI,0.026,,,0.01,0.3,0.1,0.2,0.01,0.3,PEAI,,TRUE,FALSE,185,360000,,,,,Yellow Eyed Peas
Chimmit,Rare,unavailable,water,dark,lightning,light,,,,,,,,,,,,54000,WLID,0.03,,,0.01,0.3,0.1,0.2,0.01,0.3,WLID,,TRUE,FALSE,100,360000,,,,,Experienced Piscator
Chimneypuff,Rare,permanent,dark,air,,,,,,,,,,,,,,82800,AD,0.05,,,0.01,0.25,0.04,0.1,0.01,0.2,AD,,TRUE,FALSE,460,360000,,,,,Swift Sweeper
Chitin,Rare,permanent,dark,metal,,,,,,,,,,,,,,93600,MD,0.04,,,0.01,0.25,0.04,0.1,0.01,0.2,MD,,TRUE,FALSE,400,360000,,,,,Creepy Crawler
Chomp,Rare,unavailable,plant,earth,,,,Stygian,,,,,,,,,,86400,PFED,0.03,,,0.05,0.3,0.015,0.15,0.05,0.3,PFED,,TRUE,FALSE,100,360000,,,,,Systematic Muncher
Chorister,Epic,unavailable,,,,,,Harmony,,Yule,,,,,,,,72000,PEMIMe,0.038,,,0.05,0.3,0.015,0.15,0.05,0.3,Me,,TRUE,FALSE,180,240000,,,,,Achoired Taste
Chromacorn,Epic,unavailable,rift,,,,,Rainbow,,Double Rainbow,,,,,,,rift,172800,PFECWLAMIDRRb,0.005,,,0,0,0,0,0.0025,0.1,RRb,,TRUE,FALSE,75,240000,,6100,2,F,Chromatic Cave
Chrome,Hybrid,permanent,air,metal,,,,,,,,,,,,,,18000,AM,,,,0.01,,0.1,0.2,0.01,,AM,,TRUE,FALSE,1450,360000,,,,,Ride Eternal
Chrysalis,Epic,permanent,,,,,,Swallowtail,,Duskwing,,,,,,,,120000,FECCh,0.06,0.04,,,,0.05,0.05,,,Ch,,TRUE,FALSE,650,240000,,,,,Mega Metamorphosis
Chuck,Rare,unavailable,,,,,,Combustion,,Apex,,,,,,,,57600,FEMD,0.035,,,0.05,0.3,0.015,0.15,0.05,0.3,FEMD,,TRUE,FALSE,100,360000,,,,,Wood Cutter
Clairvoyant,Rare,unavailable,cold,dark,light,,,,,,,,,,,,,43200,CID,0.05,,,0.05,0.3,0.01,0.05,0.05,0.3,CID,,TRUE,FALSE,450,360000,,,,,Do You See What Icy
Classical,Epic,unavailable,,,,,,Canvas,,Rosegold,,,,,,,,93600,PFEAMMe,0.045,,,0.05,0.3,0.015,0.15,0.05,0.3,Me,,TRUE,FALSE,180,240000,,,,,The Composer
Clover,Rare,unavailable,plant,,,,,Moss,,,,,,,,,,25200,PE,0.04,,,0.01,,0.03,0.05,0.01,,PE,,TRUE,FALSE,600,360000,,,,,Misfortune Marsh
Coal,Rare,unavailable,fire,earth,,,,,,,,,,,,,,43200,FE,0.07,,,0.01,,0.05,0.1,0.01,,FE,,TRUE,FALSE,650,360000,,,,,Forgotten Fuels
Cocoahollow,Rare,unavailable,,,,,,Soot,,Conifer,,,,,,,,43200,PFEC,0.02,,,0.05,,0.005,0.1,0.02,,PFEC,,TRUE,FALSE,650,360000,,,,,Nib Nursery
Cold,Primary,permanent,,,,,,,,,,,,,,,,43200,C,,,,0,,0,,0,,C,,FALSE,TRUE,1250,,,,,,
Cold Rift,Primary Rift,permanent,,,,,,,,,,,,,,,rift,172800,CR,,,,0,0,0,0,0.01,0.15,CR,,TRUE,FALSE,400,360000,,,,C,Freezey Chaos
Coldcoil,Epic,unavailable,hidden,cold,water,,,,,,,,,,,,,68400,CWHi,0.035,,,0.05,0.3,0.01,0.1,0.05,0.3,CWHi,,TRUE,FALSE,200,240000,,,,,Chilly Shellebration
Coldforge,Rare,permanent,cold,metal,,,,,,,,,,,,,,72000,CM,0.05,,,0.01,0.3,0.04,0.15,0.01,0.3,CM,,TRUE,FALSE,515,360000,,,,,Wimbledrip's Woe
Combustion,Rare,unavailable,metal,fire,air,dark,,,,,,,,,,,,216000,FAMD,0.02,,,0.01,0.3,0.015,0.1,0.01,0.3,FAMD,,TRUE,FALSE,149,240000,,7450,1,,Come-bust-out Some Moves
Comet,Galaxy,permanent,,,,,,,,,,,,,,,social,79200,FECMGa,,,,0,0,0.1,0.2,0,0,Ga,,TRUE,FALSE,104,240000,,,,,Hypersonic Frolic
Conch,Rare,permanent,metal,water,,,,,,,,,,,,,,21600,WM,0.05,,,0.01,,0.04,0.1,0.01,,WM,,TRUE,FALSE,1300,360000,,,,,Mollusca Marina
Conifer,Rare,permanent,cold,plant,,,,,,,,,,,,,,64800,PC,0.05,,,0.01,0.3,0.04,0.1,0.01,0.3,PC,,TRUE,FALSE,830,360000,,,,,Brow Mountain
Construct,Rare,unavailable,,,,,,Crystal,,Sparkles,,,,,,,,100800,ELI,0.0325,,,0.01,0.3,0.1,0.2,0.01,0.3,ELI,,TRUE,FALSE,125,360000,,,,,On The Rocks
Copper,Hybrid,permanent,lightning,metal,,,,,,,,,,,,,,72000,LM,,,,0.01,,0.1,0.2,0.01,,LM,,TRUE,FALSE,900,360000,,,,,Conductive Conundrum
Coral,Hybrid,permanent,fire,water,,,,,,,,,,,,,,41400,FW,,,,0.01,,0.1,0.2,0.01,,FW,,TRUE,FALSE,775,360000,,,,,Kelpy Corrale
