Air,Primary,A,Fire+Water,2:00:00,100% (33%),0% (?%),0% (?%),0% (?%),
Faire,Rare,PCLM,lightning+plant+cold+metal,54:00:00,0.5%,1% (10%),0.25% (?%),0.25% (?%),Fair is Fair
Feast,Rare,PEI,plant+earth+light,24:00:00,5%,2% (10%),1% (?%),1% (?%),The Fattening
Neoteric,Rare,PLID,Luminous+Spark,31:00:00,12% (7%),1% (10%),0.5% (?%),0.5% (?%),New Year Flight
Double Leap Year,Epic,Rb,[4 elements],29:00:00,3% (1%),1% (5%),?% (25%),?% (25%),Twice Leapt Valley
Shield,Rare,ECWL,Hail+Hydra,13:30:00,4%,1% (10%),0.5% (?%),0.5% (?%),Fury's Foray
Blazing Gale,Rare,FA,fire+air,22:00:00,4%,1.5% (10%),1% (30%),1% (30%),Pi Roh's Paradise
Fates,Epic,Ol,plant+fire+water,20:00:00,1.5%,1% (5%),5% (30%),5% (30%),Triad Trench
Hidden Bolt,Rare,LD,dark+lightning,22:00:00,4%,1.5% (10%),1% (30%),1% (30%),Spark in the Dark
Icy Torrent,Rare,CW,cold+water,22:00:00,4%,1.5% (10%),1% (30%),1% (30%),Glacial Dig
Iron Blossom,Rare,PM,plant+metal,22:00:00,4%,1.5% (10%),1% (30%),1% (30%),Riddle Rabble
Mountain Sun,Rare,EI,earth+light,22:00:00,4%,1.5% (10%),1% (30%),1% (30%),Chiseled Cliffs
Wyrmwood,Rare,PFEC,earth+fire+plant+cold,18:00:00,3%,2% (10%),1% (?%),1% (?%),The 5th Precipice
Flurry,Rare,CWA,cold+air+water,18:00:00,4%,1.5% (10%),1% (30%),1% (30%),It Came From the Clouds
Ribbon,Epic,Or,Regift+fire,19:00:00,4%,1% (5%),5% (30%),5% (30%),Streaming & Gleaming
Snowbrush,Rare,PCI,cold+plant+light,19:00:00,4%,1.5% (10%),1% (30%),1% (30%),Snowdrift Dive
Thundersnow,Rare,ECL,cold+earth+lightning,18:00:00,4%,1.5% (10%),1% (30%),1% (30%),Snow Day
Tinsel,Epic,Or,Holly+cold,27:00:00,3%,1% (5%),5% (30%),5% (30%),Into the Bushes
Twinkle,Epic,Or,Winter+air,55:00:00,0.5%,1% (5%),5% (25%),5% (25%),Cave of Caroling
Epoch,Rare,PECL,Bloom+Bearded,31:00:00,12% (7%),1% (5%),5% (?%),5% (?%),The Great Sneeze
Ironwrought,Rare,EWAM,metal+earth+water+air,12:00:00,3%,2% (10%),1% (?%),1% (?%),Pumpermelon Pull
Seraph,Rare,FAI,light+air+fire,40:00:00,2%,2% (10%),1% (?%),1% (?%),Soaring Heights
Party,Epic,Rb,[4 elements],52:00:00,3% (1%),3% (5%),5% (?%),5% (?%),Celebratory Expedition
Satin,Rare,PFEL,fire+plant+earth+lightning,18:00:00,9% (2%),2% (10%),5% (?%),5% (10%),Drape Escape
Bilby,Rare,PFLI,Cotton+Plains,14:00:00,2%,0.5% (10%),5% (?%),2% (?%),Hop to It
Cocoahollow,Rare,PFEC,Soot+Conifer,12:00:00,2%,0.5% (10%),5% (?%),2% (?%),Nib Nursery
Cumberpatch,Epic,Hi,Cactus+monolith,28:00:00,2%,0.5% (10%),5% (?%),2% (?%),Mammu's Bargain
Yolkwing,Rare,FDR,rift+[fire trait],0:00:00,2.5%,0% (0%),0% (0%),1% (15%),Eggstraordinary Eggventure
Fireflight,Rare,FA,air+fire,22:00:00,4%,1.5% (10%),1% (30%),1% (30%),Hot Air Hullabaloo
Dartwing,Rare,PM,metal+plant,23:00:00,4%,1% (20%),1% (25%),1% (20%),Fleetly Flittering
Sandscale,Rare,EIR,earth+light+rift+[rift align:light],0:00:00,4%,0% (0%),0% (0%),1% (20%),Dune Diving
Abraxas,Rare,LDR,lightning+dark+rift+[rift align:lightning],23:00:00,4%,0% (0%),0% (0%),1% (20%),Power Overwhelming
Quintessence,Rare,PFEWM,metal+plant+fire+earth+water,50:00:00,2%,1.5% (10%),1% (30%),1% (30%),A Guardian's Guide
Triple Leap Year,Epic,Rb,[4 elements],30:00:00,3% (1%),1% (5%),5% (30%),5% (30%),Third Leap Year
Combustion,Rare,FAMD,metal+fire+air+dark,60:00:00,2%,1.5% (10%),1% (30%),1% (30%),Come-bust-out Some Moves
Gryphus,Rare,EAI,air+earth+light,18:00:00,2.5%,4% (15%),1% (30%),1% (30%),Time to Send a Letter
Soriak,Rare,ELA,lightning+earth+air,15:00:00,2.5%,4% (15%),1% (30%),1% (30%),emiT hguorhT pirT A
Dargon,Rare,F,[any 2 dragons],14:00:00,4% (1% [0.5%]),3% (10%),1% (30%),1% (30%),Dragon Dragon
Davinese,Rare,WLA,Cyclone+Vortex,14:50:50,4.5%,10% (20%),1% (30%),1% (30%),Flying The Friendly Skies
Fluffles,Rare,CAI,air+light+cold,16:00:00,4.5%,10% (20%),1% (30%),1% (30%),Huggie Snuggie
Undau,Rare,FCID,dark+light+cold+fire,15:00:00,4.5%,10% (20%),1% (30%),1% (30%),A Quest For Food
Lunk,Rare,CLI,Gamma+Bastion,20:00:00,4%,10% (20%),1% (30%),1% (30%),Pumping Metal
Brizoni,Rare,PFEI,light+fire+earth+plant,24:00:00,4%,10% (20%),1% (30%),1% (30%),Perfectly Balanced
Fuefuego,Rare,FEMI,Armament+fire+earth,26:00:00,4.25%,10% (20%),1% (30%),1% (30%),Dare Devil
Hyperion,Epic,Ap,Fury+Narcis,70:00:00,2%,1.5% (10%),1% (30%),1% (30%),Powerful Presence
Scryer,Rare,CLID,Neoteric+Lunk,20:00:00,2.5%,10% (20%),1% (30%),1% (30%),A Peek Into the Future
Smigi,Rare,AID,air+dark+light,16:00:00,3%,10% (20%),1% (30%),1% (30%),Swish Swoosh
Stage,Rare,FMID,dark+light+fire+metal,14:00:00,3%,10% (20%),1% (30%),1% (30%),Waving Specialist
PonkiPong,Rare,FAID,Undau+fire+air,15:00:00,3.5%,10% (20%),1% (30%),1% (30%),Bouncy
Jumpiplop,Rare,PWAD,Riptide+Psyche,24:00:00,3.5%,10% (20%),1% (30%),1% (30%),Splash Zone
Solary,Rare,FEAI,light+air+earth+fire,20:00:00,3.8%,10% (20%),1% (30%),1% (30%),Bright Sunlight
Chrysalis,Epic,Ch,Swallowtail+Duskwing,33:20:00,6% (4%),5% (5%),?% (?%),?% (?%),Mega Metamorphosis
Duskwing,Epic,Ch,Lacewing+Chrysalis,33:20:00,6% (4%),1% (5%),?% (30%),?% (30%),Twilight Flight
Lacewing,Epic,Ch,Duskwing+Marbletail,41:20:00,3%,1% (5%),?% (30%),?% (30%),Filigree Falls
Marbletail,Epic,Ch,Lacewing+Swallowtail,50:40:00,1%,1% (5%),?% (30%),?% (30%),Dappled Tale
Swallowtail,Epic,Ch,Marbletail+Chrysalis,41:20:00,3%,1% (5%),?% (30%),?% (30%),Gulping Gully
Glowwing,Epic,Ch,Starwing+chrysalis,31:00:00,1%,1% (5%),5% (30%),5% (30%),Everflowering Fields
Starwing,Epic,Ch,Glowwing+chrysalis,28:00:00,2%,1% (5%),5% (30%),5% (30%),Map to the Stars
Busby,Epic,Ch,Lacewing+Marbletail,42:00:00,2%,1% (5%),?% (30%),?% (30%),Hive Mind
Dittoglide,Epic,Ch,Duskwing+Lacewing,15:00:00,2%,1% (5%),?% (30%),?% (30%),Frequent Flier
Faux,Epic,Ch,Glowwing+Swallowtail,19:05:00,2%,1% (5%),?% (30%),?% (30%),Monster Mimicry
Gildamane,Epic,Ch,Lacewing+Starwing,15:47:30,2%,1% (5%),?% (30%),?% (30%),The Wise Way
Rhinotorch,Epic,Ch,Swallowtail+Marbletail,16:00:00,2%,1% (5%),?% (30%),?% (30%),Sharply Appointed
Violetta,Epic,Ch,Faux+Dittoglide,18:00:00,2%,1% (5%),?% (30%),?% (30%),Vivid Virtue
Serket,Epic,Ch,Busby+Rhinotorch,33:20:00,2%,?% (5%),?% (30%),?% (30%),Immunity Proclivity
Morpho,Epic,Ch,Gildamane+Dittoglide,15:00:00,2%,?% (5%),?% (30%),?% (30%),Delightfully Disguised
Trilobite,Epic,Ch,Rhinotorch+Faux,33:20:00,2%,?% (5%),?% (30%),?% (30%),Extinction Exodus
Pearlescent,Epic,RCh,Prism+Starwing+rift+[prism light trait]+[starwing dark trait],0:00:00,0.5%,0% (0%),0% (0%),0.25% (10%),Pretty Power
Cold,Primary,C,,12:00:00,$%,0% (?%),0% (?%),0% (?%),
Ice,Hybrid,CW,cold+water,8:00:00,*%,10% (20%),1% (?%),1% (?%),Flash Freeze
Mountain,Hybrid,EC,earth+cold,14:00:00,*%,10% (20%),1% (?%),1% (?%),Solo Summit
Snow,Hybrid,CA,cold+air,8:00:00,*%,10% (20%),1% (?%),1% (?%),Furious Flurry
Storm,Hybrid,CL,cold+lightning,5:00:00,*%,10% (20%),1% (?%),1% (?%),Squall Shoal
Blue Fire,Rare,FC,fire+cold,12:00:00,5%,4% (15%),1% (?%),1% (?%),Scorched Ice
Iceberg,Hybrid,CW,cold+water,8:00:00,*%,10% (20%),1% (?%),1% (?%),Broken Ice Shelf
Frostfire,Rare,FC,cold+fire,12:00:00,5%,4% (15%),1% (?%),1% (?%),Palagos Islands
Lichen,Hybrid,PC,plant+cold,6:00:00,*%,10% (20%),1% (?%),1% (?%),Algae Analogy
Mine,Hybrid,CM,cold+metal,10:00:00,*%,10% (20%),1% (?%),1% (?%),Dramorian Delve
Steel,Hybrid,CM,cold+metal,14:00:00,*%,10% (20%),1% (?%),1% (?%),Left Turn Lagoon
Evergreen,Hybrid,PC,plant+cold,10:00:00,*%,10% (20%),1% (?%),1% (?%),Neverblue Woods
Glacier,Hybrid,EC,earth+cold,10:00:00,*%,10% (20%),1% (?%),1% (?%),Below the Floe
Hail,Hybrid,CL,cold+lightning,8:00:00,*%,10% (20%),1% (?%),1% (?%),The Barragening
Blizzard,Hybrid,CA,air+cold,10:00:00,*%,10% (20%),1% (?%),1% (?%),Hall of the Ice Kings
Glare,Hybrid,CI,light+cold,9:30:00,*%,10% (20%),1% (?%),1% (?%),Caves of Ramora
Phantom,Hybrid,CI,cold+light,8:30:00,*%,10% (20%),1% (?%),1% (?%),Fear & Figments
Crypt,Hybrid,CD,dark+cold,17:30:00,*%,10% (20%),1% (?%),1% (?%),Creeper Keeper
Ruin,Hybrid,CD,cold+dark,6:00:00,*%,10% (20%),1% (?%),1% (?%),Down Falls
Arctic,Rare,EC,cold+earth,22:00:00,5%,4% (15%),1% (?%),1% (?%),Northern Chills
Frostbite,Rare,CD,cold+dark,4:00:00,5%,4% (15%),1% (?%),1% (?%),Icebitten
Tempest,Rare,CL,lightning+cold,8:00:00,5%,4% (10%),1% (?%),1% (?%),Wiggleswand Way
Candescent,Rare,CI,cold+light,9:00:00,5%,4% (15%),1% (?%),1% (?%),Glowing Descent
Fluorescent,Rare,CI,light+cold,11:00:00,5%,4% (15%),1% (?%),1% (?%),Debunking Spelunking
Coldforge,Rare,CM,cold+metal,20:00:00,5%,4% (15%),1% (30%),1% (30%),Wimbledrip's Woe
Conifer,Rare,PC,cold+plant,18:00:00,5%,4% (10%),1% (30%),1% (30%),Brow Mountain
Permafrost,Rare,EC,earth+cold,18:00:00,5%,4% (15%),1% (30%),1% (30%),Freezey-Cold Flight
Frostflower,Rare,PC,plant+cold,10:00:00,5%,4% (15%),1% (30%),1% (30%),Just Right Gauntlet
Jetstream,Rare,CA,cold+air,10:00:00,5%,4% (15%),1% (30%),1% (30%),Conspiracy Bluff
Snowsquall,Rare,CWR,cold+water+rift+[cold trait],0:00:00,2.5%,0% (0%),0% (0%),1% (15%),Tentacle Terrace
Cold Rift,Primary Rift,CR,,48:00:00,$%,0% (0%),0% (0%),1% (15%),Freezey Chaos
Zaffer,Rare,CLR,Blue Fire+Plasma+rift+[blue fire air trait]+[plasma metal trait],0:00:00,4%,0% (0%),0% (0%),1% (15%),Blues Chase
Frostfluff,Rare,ECR,cold+earth+rift+[rift align:cold],0:00:00,3%,0% (0%),0% (0%),1% (15%),Fluff Bluff
Bonescale,Rare,CM,metal+cold,22:00:00,2%,4% (15%),1% (30%),1% (30%),Calcified Crusade
Fever,Rare,FC,cold+fire,9:00:00,3.5%,4% (15%),1% (30%),1% (30%),Cold Sweat
Derecho,Rare,CA,air+cold,16:00:00,2.5%,4% (15%),1% (30%),1% (30%),Adrenaline Rush
